epoch,loss,val_loss
0,3.89042925453186,3.2404215982347635
1,3.0589246373176575,2.9656191306191775
2,2.7862890090942383,2.7680913900547615
3,2.6155797855854033,2.6162614908400528
4,2.50211753487587,2.5630413511681462
5,2.440029049873352,2.5203876090032877
6,2.367424103617668,2.466521317344374
7,2.319669247984886,2.7556840327797394
8,2.2956178323030474,2.5020654768180353
9,2.2682840610742567,2.472067014841054
10,2.248847957611084,2.488009163299503
11,2.2213942217826843,2.385334590700712
12,2.208693432688713,2.4891035363123795
13,2.201366043448448,2.390648476134716
14,2.172607388854027,2.434710722491303
15,2.1671883058547974,2.517791268876689
16,2.158520187497139,2.454016819114928
17,2.142555085301399,2.323391501337423
18,2.1386552057266237,2.4309270140192076
19,2.1372362958192825,2.3723557008884053
0,3.992879791498184,3.2356307077621462
